Nome da instituição,Sigla,Tipo
Universidade Federal do Piauí,UFPI,1
Universidade Estadual do Piauí,UESPI,1
Instituto Federal do Piauí,IFPI,1
Universidade Federal do Delta do Parnaíba,UFDPar,1
Centro Universitário Santo Agostinho,UNIFSA,2
Centro Universitário Maurício de Nassau,UNINASSAU,2
Centro Universitário UNINOVAFAPI,UNINOVAFAPI,2
Centro Universitário Facid Wyden,UNIFACID,2
Centro de Ensino Superior do Vale do Parnaíba,CESVALE,2
Christus Faculdade do Piauí,CHRISFAPI,2
Faculdade de Tecnologia de Teresina,Uni-CET,2
Faculdade das Atividades Empresariais de Teresina,FAETE,2
Instituto de Educação Superior Raimundo Sá,FSA,2
Faculdade Estácio de Teresina,ESTÁCIO,2
Instituto Camillo Filho,ICF,2
Faculdade Santa Teresa D'Ávila,FAST,2
Instituto de Educação Superior do Vale do Parnaíba,IESVAP,2
Faculdade Adelmar Rosado,FAR,2
Faculdade de Ensino Superior de Floriano,FAESF,2
Faculdade do Cerrado Piauiense,FCP,2
Faculdade do Piauí,FAPI,2
Faculdade Integrada do Brasil,FAIBRA,2
Faculdade Piauiense,FAP,2
Faculdades Integradas de Teresina,FATEPI,2
Faculdade de Ensino Superior do Piauí,FAESPI,2
Faculdade Líbano,LÍBANO,2
Unicorp Faculdades,UNICORP,2
Instituto de Ensino Superior de Batalha,IESB,2
